Analyzing battle_manager.dart...                                

warning - The value of the field '_isProcessingHits' isn't used - lib\game\battle_manager.dart:169:8 - unused_field
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:2783:13 - curly_braces_in_flow_control_structures
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:2794:13 - curly_braces_in_flow_control_structures
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:2811:15 - curly_braces_in_flow_control_structures
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:2904:11 - curly_braces_in_flow_control_structures
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:3216:13 - curly_braces_in_flow_control_structures
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:3446:9 - curly_braces_in_flow_control_structures
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:3448:9 - curly_braces_in_flow_control_structures
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:3450:9 - curly_braces_in_flow_control_structures
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:3452:9 - curly_braces_in_flow_control_structures
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:3476:9 - curly_braces_in_flow_control_structures
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:3479:9 - curly_braces_in_flow_control_structures

